Name,Name,Key,Style,Style_Key,Brewery,Description,ABV,Ave_Rating,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,Brewery_ID,Brewery_Name,Avg_Review_Overall,Avg_Review_Aroma,Avg_Review_Appearance,Avg_Review_Palate,Avg_Review_Taste,Beer_ID
2XIPA,2XIPA,1520,IPA - Imperial,37,Southern Tier Brewing Company,Notes:,8.2,4.04,18,31,14,67,42,46,0,45,89,1,35,3818,Southern Tier Brewing Company,4.077247191011236,4.021067415730337,3.916432584269663,3.956460674157303,4.044241573033708,57908
312 Urban Wheat,312 Urban Wheat,4854,Wheat Beer - American Pale,111,Goose Island Beer Co.,"Notes:Crisp, bright flavor shines like city lights on Lake Michigan. Hazy and unfiltered, our award-winning Urban Wheat Ale's flavor flows from start to finish.18 IBU	",4.2,3.4,27,45,10,25,22,51,3,57,31,6,84,1549,Goose Island Beer Co.,3.74031007751938,3.297674418604651,3.4906976744186045,3.5054263565891475,3.449612403100775,17141
5 Barrel Pale Ale,5 Barrel Pale Ale,2115,Pale Ale - English,50,Odell Brewing Company,"Notes:The distinctive hop character of our 5 Barrel Pale Ale is due to the extraction of essential oils from select hops. We treat 5 Barrel Pale Ale to an infusion of fresh whole hop flowers in the Hop Back and the Fermentor, as well as four hop additions during the kettle boil. We like how this gives the beer a fresh, lively flavor and aroma.	",5.2,3.82,20,27,4,65,41,34,1,36,92,0,48,267,Odell Brewing Company,3.9385593220338984,3.7012711864406778,3.885593220338983,3.722457627118644,3.8114406779661016,22452
5 Vulture,5 Vulture,3208,Chile Beer,75,5 Rabbit Cerveceria,"Notes:5 Vulture is a deep ambered-colored ale with complex caramel aromas with toasted sugar notes and a long, elegant spicy finish. Roasted ancho chile is used to add depth and complexity, without adding heat or strong chile flavors.	",6.4,3.53,5,44,24,26,66,8,2,15,13,87,74,25544,5 Rabbit Cerveceria,3.727272727272727,3.8181818181818183,3.8181818181818183,3.727272727272727,3.8181818181818183,68712
72 Imperial Chocolate Cream Stout,72 Imperial Chocolate Cream Stout,4177,Stout - Sweet / Milk,95,Breckenridge Brewery,"Notes:Just sit back and enjoy the ride.Like its namesake automobile, this small batch beer is meticulously engineered for luxury and enjoyment. We start with a great, hearty stout recipe and add loads of dark chocolate – 200 pounds per 100-barrel brew. This Imperial Chocolate Cream Stout is the color of molasses and is full of rich, toasted cocoa notes with hints of dark fruit. 72 Imperial will delight the taste buds.11 IBU	",7.2,3.88,8,155,13,48,90,12,0,14,20,17,147,2137,Breckenridge Brewery,4.1923076923076925,3.8846153846153846,3.8846153846153846,4.076923076923077,4.230769230769231,65223
8 Ball Stout,8 Ball Stout,4069,Stout - Oatmeal,93,Lost Coast Brewery and Cafe,"Notes:Our Eight Ball Stout is not for the faint of heart. It’s bold as hell and robust as can be, but it’ll reward your palate like no other stout. Roasted malts and heavy hops give it a flavor that will have you pouring another before you’re even finished with the first.	",6.3,3.85,14,64,1,42,43,11,0,11,19,4,94,256,Lost Coast Brewery and Cafe,3.908421052631579,3.809473684210526,3.9557894736842107,3.8210526315789473,3.92,5045
80/- (Eighty Shilling),80/- (Eighty Shilling),641,Scottish Ale,16,Williams Brothers Brewing Company,Notes:,4.2,3.68,16,84,6,32,86,20,1,26,39,13,139,12142,Williams Brothers Brewing Company,3.9705882352941178,3.7794117647058822,4.0,3.6911764705882355,3.75,52084
A Little Sumpin' Extra! Ale,A Little Sumpin' Extra! Ale,1531,IPA - Imperial,37,Lagunitas Brewing Company,Notes:,8.7,4.24,12,39,21,53,48,51,0,67,69,3,40,220,Lagunitas Brewing Company,4.134036144578313,4.177710843373494,4.15210843373494,4.048192771084337,4.141566265060241,52077
A Little Sumpin' Sumpin' Ale,A Little Sumpin' Sumpin' Ale,1258,IPA - American,32,Lagunitas Brewing Company,"Notes:Brewed with 50% wheat malt; Willamette, Santiam, Amarillo, Cascade, Centennial, Chinook, and Columbus hops. This special ale is something fairly new under the sun. It's got a lot of wheat, it's rich with hops, it finishes dry. We've watched with some amusement as the internet beer rating sites argues over how to 'classify' it. We're in the camp with Japhy Ryder when he declares to Ray Smith that ""Comparisons are odious!"" You ever notice how everything has to be today's version of yesterday's whatever. Well, whatEver. Sometimes we wonder what the world would be like if everything was perceived for what it is, and not what it reminds you of. The sun would rise everyday as if for the first time, you'd wake as if newly born, you'd see your lover next to you anew, the air would smell like flowers, work would be like the first day back in school, a beer would make your eyes roll back in your head in ecstasy... well, maybe not... but you get the idea.....Way smooth and silky with a nice wheatly-esque-ish-ness. A truly unique style featuring a strong hop finish on a silky body. A hoppy pale wheat ale that is great for IPA fans but so smooth that the hefeweizen fans dig it too.64 IBU	",7.5,4.22,15,32,14,58,23,56,1,69,100,2,65,220,Lagunitas Brewing Company,4.219411764705883,4.208235294117647,3.9958823529411767,4.031764705882353,4.216470588235294,49789
A Little Sumpin' Wild,A Little Sumpin' Wild,1302,IPA - Belgian,33,Lagunitas Brewing Company,Notes:Fermented with the Westmalle yeast strain72.51 IBU	,8.8,4.13,16,33,17,53,41,69,0,62,71,9,26,220,Lagunitas Brewing Company,4.079025110782865,4.095273264401772,4.088626292466765,3.996307237813885,4.10192023633678,57912
ALTerior Motive,ALTerior Motive,297,Altbier,8,COAST Brewing Company,"Notes:Our altbier is crafted after the authentic, or sticke, style that originated in Germany. It is extremely malty, aggressively hoppy and cold conditioned for a clean, smooth finish.	",6.3,4.05,27,61,11,56,61,46,0,40,77,14,110,16354,COAST Brewing Company,4.46875,4.1875,4.0625,4.25,4.25,44410
Aardmonnik - Earthmonk,Aardmonnik - Earthmonk,5383,Sour - Flanders Oud Bruin,123,De Struise Brouwers,"Notes:Brewed and bottled on the Deca Brewery in Woesten-Vleteren.Oud Vlaams Bruin - Blend 30% Old & 70% NewEBC:52, IBU:15, OG:1078, FG:1018, ABV:??Hops: Bramling Cross, Hallertau MF	",8.0,4.01,30,51,15,22,124,148,0,109,9,12,52,15237,De Struise Brouwers,3.9084967320261437,4.032679738562091,3.630718954248366,3.712418300653595,4.065359477124183,34311
Aass Bock,Aass Bock,192,Bock - Traditional,5,Aass Brewery,Notes:,6.5,4.01,5,49,14,34,81,15,0,21,25,3,76,185,Aass Brewery,3.926829268292683,3.8536585365853657,3.9878048780487805,3.817073170731707,4.036585365853658,664
Abbaye D'Aulne Blonde Des Pères (Sur Lie) 6°,Abbaye D'Aulne Blonde Des Pères (Sur Lie) 6°,1746,Blonde Ale - Belgian,42,Brasserie Val De Sambre,Notes:,6.0,3.49,22,44,7,28,60,46,0,45,38,28,31,3314,Brasserie Val De Sambre,3.5588235294117645,3.5588235294117645,3.5588235294117645,3.5294117647058822,3.5588235294117645,8969
Abbaye De Floreffe Blonde,Abbaye De Floreffe Blonde,1732,Blonde Ale - Belgian,42,Brasserie Lefèbvre SA,Notes:,6.3,3.63,17,25,15,33,76,44,3,49,55,30,65,149,Brasserie Lefèbvre SA,3.823529411764706,3.588235294117647,3.735294117647059,3.588235294117647,3.735294117647059,6673
Abbaye Des Rocs Grand Cru Belgian Special Brown,Abbaye Des Rocs Grand Cru Belgian Special Brown,4581,Strong Ale - Belgian Dark,104,Brasserie de l'Abbaye des Rocs s.a.,Notes:,9.0,4.22,13,59,22,16,130,53,0,79,16,27,79,681,Brasserie de l'Abbaye des Rocs s.a.,4.140946502057613,4.231481481481482,4.082304526748971,4.148148148148148,4.290123456790123,26277
Abbaye Des Rocs [Brasserie Des Rocs Brune],Abbaye Des Rocs [Brasserie Des Rocs Brune],4586,Strong Ale - Belgian Dark,104,Brasserie de l'Abbaye des Rocs s.a.,Notes:,9.0,4.22,10,45,28,17,92,21,1,53,18,18,72,681,Brasserie de l'Abbaye des Rocs s.a.,4.2282229965156795,4.2613240418118465,4.085365853658536,4.165505226480836,4.301393728222997,2469
Abbey Ale,Abbey Ale,523,Dubbel,14,Abita Brewing Co.,"Notes:Abbey Ale honors the ancient tradition of monks who perfected the art of brewing beer to support the monastery and their ""liquid bread"". We offer up our support and thank them with a 25¢ donation to St. Joseph's Abbey with every bottle sold of this heavenly brew. Dark amber in color, the aroma of caramel, fruits and cloves invites you to contemplate the creamy head of this ""Dubbel"" or double ale. Abita Abbey Ale is a malty brew, top-fermented and bottle aged to rapturous perfection.32 IBU	",8.0,3.69,4,39,12,12,82,43,0,54,16,39,78,3,Abita Brewing Co.,3.619047619047619,3.6375661375661377,3.8915343915343916,3.634920634920635,3.611111111111111,45583
Abbey Triple,Abbey Triple,4748,Tripel,107,Sprecher Brewing Company,"Notes:A Belgian Trappist triple yeast culture balanced with the finest imported pale barley, Belgian aromatic malt and oats, gives this golden ale a fruity bouquet and a light refined taste.	",8.4,3.63,8,22,16,6,79,42,0,57,11,23,39,144,Sprecher Brewing Company,3.463276836158192,3.480225988700565,3.468926553672316,3.480225988700565,3.516949152542373,2851
Abbot Ale,Abbot Ale,1660,Bitter - English Extra Special / Strong Bitter (ESB),41,Greene King / Morland Brewery,"Notes:Hailed by the late beer writer Michael Jackson as ‘one of the great characters of the beer world’, Abbot Ale is brewed for quality of the highest order. Abbot is an irresistible ale with masses of fruit characters, a malty richness and superb hop balance. It is brewed longer to a unique recipe, which makes it the full-flavoured, smooth and mature beer it is today.	",5.0,3.68,9,42,5,30,63,16,3,19,51,7,92,203,Greene King / Morland Brewery,3.7648809523809526,3.5,3.8735119047619047,3.712797619047619,3.6339285714285716,910
Abrasive Ale,Abrasive Ale,1521,IPA - Imperial,37,Surly Brewing Company,"Notes:Hazy gold in color, this Oatmeal Double IPA has aggressive aromas of candied grapefruit/tangerine and tropical fruit. Malted oats greatly enhance the body and the high level of bitterness is balanced by this sweetness. Citra hops are used for aroma & flavor additions and for dry-hopping, while Warrior hops are used primarily for bitterness.OG 19.5 PlatoColor 5 SRMHops: Citra, WarriorYeast: English AleMalt: 2-row, Golden Naked OatsABV: 9%	",9.2,4.52,23,34,16,78,73,69,0,111,103,7,47,13014,Surly Brewing Company,4.430728241563055,4.50088809946714,4.247779751332149,4.298401420959148,4.446714031971581,46849
Abraxas,Abraxas,3879,Stout - American Imperial,89,Perennial Artisan Ales,"Notes:*ABV varies by year*An Imperial Stout brewed with ancho chili peppers, cacao nibs, vanilla beans, and cinnamon sticks. Pouring deep brown with a thick head, this beer has a complex body with a delicious lingering roastiness. Abraxas is brewed with unique ingredients intended to challenge and excite the palate. It may be enjoyed right away or allowed to age in the bottle. Vertical tastings are encouraged.	",11.5,4.5,4,139,46,46,73,4,2,8,16,158,126,25888,Perennial Artisan Ales,4.3,4.2,4.1,4.5,4.3,76393
Achel Trappist Extra,Achel Trappist Extra,4587,Strong Ale - Belgian Dark,104,Brouwerij der St. Benedictusabdij de Achelse,Notes:,9.5,4.31,17,52,38,22,122,33,0,80,18,34,81,922,Brouwerij der St. Benedictusabdij de Achelse,4.228323699421965,4.219653179190751,4.242774566473988,4.182080924855492,4.367052023121388,40681
Ad Astra Ale,Ad Astra Ale,264,Altbier,8,Free State Brewing Co.,"Notes:This ale is the first brewed in Kansas since pioneering days. The name ""Ad Astra comes from the Kansas State Motto - Ad Astra per Aspera, Latin words meaning ""To the Stars through Difficulties"". We've blended Pale, Caramel, and Munich malts for a rich amber beer. The hops balance this malty sweetness, and we've chosen Northern brewer and Fuggles hops for their flavor.24 IBU	",5.6,3.69,7,30,5,43,43,13,1,13,50,6,93,642,Free State Brewing Co.,3.869047619047619,3.5238095238095237,3.9047619047619047,3.7738095238095237,3.6904761904761907,2553
Adelscott,Adelscott,3777,Smoked Beer,86,Brasserie Fischer / Fischer Biere d' Alsace,Notes:,6.4,2.65,12,51,36,24,108,14,0,14,26,48,84,197,Brasserie Fischer / Fischer Biere d' Alsace,2.5,2.8472222222222223,3.236111111111111,2.736111111111111,2.5833333333333335,3344
Adnams Bitter,Adnams Bitter,1650,Bitter - English,40,"Adnams plc, Sole Bay Brewery",Notes:,4.1,3.71,18,60,10,95,63,42,0,39,109,13,90,779,"Adnams plc, Sole Bay Brewery",3.852272727272727,3.522727272727273,3.897727272727273,3.7386363636363638,3.7954545454545454,23975
Adnams Broadside,Adnams Broadside,4660,Strong Ale - English,106,"Adnams plc, Sole Bay Brewery",Notes:,6.3,3.9,4,46,27,32,72,28,0,47,34,14,80,779,"Adnams plc, Sole Bay Brewery",3.931578947368421,3.721052631578947,4.015789473684211,3.8210526315789473,3.9789473684210526,4687
Adnams SSB (Suffolk Special Bitter),Adnams SSB (Suffolk Special Bitter),1698,Bitter - English Extra Special / Strong Bitter (ESB),41,"Adnams plc, Sole Bay Brewery",Notes:,4.5,3.89,16,46,18,65,52,33,0,25,69,6,72,779,"Adnams plc, Sole Bay Brewery",3.9964285714285714,3.692857142857143,3.9214285714285713,3.8,3.8785714285714286,7615
Adnams Southwold Bitter,Adnams Southwold Bitter,1617,Bitter - English,40,"Adnams plc, Sole Bay Brewery",Notes:,4.1,3.63,18,49,15,94,97,49,2,55,127,9,85,779,"Adnams plc, Sole Bay Brewery",3.8,3.475,3.825,3.85,3.65,5413
Aecht Schlenkerla Eiche,Aecht Schlenkerla Eiche,904,Lager - Rauchbier,23,Brauerei Heller-Trum / Schlenkerla,"Notes:Facts on Aecht Schlenkerla Eiche:While for the classic Aecht Schlenkerla Rauchbier traditionally beech has been — and still is — used, the malt for Schlenkerla Oak Smoke is kilned with oak wood. The resulting Schlenkerla Oak Smokemalt has a smoother and more multilayered smoky note than the intensely aromatic beech smokemalt. The hence complex smokiness in this double bock is paired with the multifaceted bitterness of finest Hallertau aroma hops. With 8% alcohol and amber color it matures for months in the 14th century brewery cellars into a special treat for smoke beer lovers. As one of the last traditionally made smoked beers, Aecht Schlenkerla Rauchbier is a passenger in the „Ark of Taste” by SlowFood®.Brewed with 100% Schlenkerla Oak Smoke Malt40 IBU from finest aroma hopsBernstein (amber) color	",8.0,4.11,6,47,16,25,47,11,0,13,34,95,58,263,Brauerei Heller-Trum / Schlenkerla,4.045871559633028,4.238532110091743,3.841743119266055,3.970183486238532,4.158256880733945,54731
Aecht Schlenkerla Helles Lagerbier,Aecht Schlenkerla Helles Lagerbier,2509,Lager - Helles,59,Brauerei Heller-Trum / Schlenkerla,Notes:“Schlenkerla Helles” is brewed with fine Bavarian aroma hops from the area around the city of Nürnberg. It's lagered in century old caves underneath the historic Schlenkerla brewery and maltings. Schlenkerla Helles is boiled in the same copper kettles and bottom fermented by the same yeast as the historic Schlenkerla Smokebeer. Its subtle smokiness without using smoke malt makes “Helles Schlenkerla Lager” a unique representative of the classic lager beer style “Bavarian Helles”.	,4.3,3.98,19,23,7,30,18,13,4,12,50,89,59,263,Brauerei Heller-Trum / Schlenkerla,4.1194539249146755,3.8600682593856654,3.7901023890784984,3.9180887372013653,4.034129692832765,29145
Aecht Schlenkerla Rauchbier Märzen,Aecht Schlenkerla Rauchbier Märzen,901,Lager - Rauchbier,23,Brauerei Heller-Trum / Schlenkerla,"Notes:ABV may vary slightly year to year.Aecht Original Schlenkerla Maerzen Smokebeer, considered the classic example in its category, has been brewed for centuries in the baroque town of Bamberg in Franconia (Bavaria/Germany). Following the most ancient malting traditions, all its select barley malts are kilned over a fire of beech wood logs at the Schlenkerla maltings. Brewed in classic copper vessels and matured for months in 14th century cellars, Aecht Schlenkerla Rauchbier is a truly unique smoky beer experience.	",5.4,4.13,8,33,6,30,26,5,4,2,26,124,64,263,Brauerei Heller-Trum / Schlenkerla,3.830146231721035,4.207536557930259,4.021372328458942,3.8993250843644542,4.065804274465692,727
Aecht Schlenkerla Rauchbier Urbock,Aecht Schlenkerla Rauchbier Urbock,902,Lager - Rauchbier,23,Brauerei Heller-Trum / Schlenkerla,Notes:First tapping every first Thursday of October. A bitter Smokebock for the strongbeer-season (October through December). Matured for weeks in the deep rock-cellar and tapped freshly from the oakwood cask.	,6.6,4.19,11,50,11,20,45,4,2,6,17,78,80,263,Brauerei Heller-Trum / Schlenkerla,3.8736933797909407,4.253484320557491,4.056620209059234,4.0026132404181185,4.162891986062718,1324
Aecht Schlenkerla Rauchbier Weizen,Aecht Schlenkerla Rauchbier Weizen,905,Lager - Rauchbier,23,Brauerei Heller-Trum / Schlenkerla,"Notes:Schlenkerla Smokebeer Wheat is an ale with light smoky aroma. As Bavarian wheat beers, it is being brewed with a mixture of both barley malt and wheat malt. The portion of barley malt is hereby a classic Schlenkerla smokemalt, while the wheat malt remains unsmoked. Served unfiltered with its natural haziness, Schlenkerla Wheat reaches its full aroma through bottle fermentation with fine top fermenting yeast.	",5.2,3.97,10,43,9,14,34,19,0,21,15,122,98,263,Brauerei Heller-Trum / Schlenkerla,3.7627627627627627,4.028528528528528,3.9474474474474475,3.7762762762762763,3.870870870870871,1018
Affligem Blond,Affligem Blond,1702,Blonde Ale - Belgian,42,Brouwerij De Smedt / Brouwerij Affligem,Notes:Affligem beers originate from the Belgian abbey founded in 1074. The citrus and tropical fruit notes followed by a malty softness and hoppy character combine to make Affligem Blonde a beautifully smooth beer with a lightly bitter finish.	,6.8,3.92,19,28,12,20,47,36,0,38,25,17,41,196,Brouwerij De Smedt / Brouwerij Affligem,3.943832599118943,3.8083700440528636,4.015418502202643,3.8480176211453743,3.8898678414096914,620
Affligem Dubbel,Affligem Dubbel,522,Dubbel,14,Brouwerij De Smedt / Brouwerij Affligem,Notes:,6.8,3.83,9,30,12,17,60,29,0,38,14,17,39,196,Brouwerij De Smedt / Brouwerij Affligem,3.750943396226415,3.7962264150943397,3.981132075471698,3.7452830188679247,3.7452830188679247,157
Affligem Noël,Affligem Noël,4584,Strong Ale - Belgian Dark,104,Brouwerij De Smedt / Brouwerij Affligem,Notes:,9.0,4.1,13,72,45,19,124,47,0,91,15,66,75,196,Brouwerij De Smedt / Brouwerij Affligem,4.062903225806451,4.070967741935484,4.101612903225806,4.016129032258065,4.145161290322581,2311
Affligem Tripel,Affligem Tripel,4723,Tripel,107,Brouwerij De Smedt / Brouwerij Affligem,Notes:,9.5,3.99,17,32,18,24,105,58,0,84,42,28,49,196,Brouwerij De Smedt / Brouwerij Affligem,3.9415584415584415,3.904220779220779,4.016233766233766,3.938311688311688,3.949675324675325,1614
Agave Wheat,Agave Wheat,3456,Herb and Spice Beer,80,Breckenridge Brewery,"Notes:Agave complements the refreshingly light quality of our wheat and adds a subtle note of flavor that expands this beer’s uplifting taste profile. It is familiar, yet creative.	",4.2,3.43,37,23,27,4,33,29,2,25,16,5,56,2137,Breckenridge Brewery,3.5064516129032257,3.261290322580645,3.5387096774193547,3.4548387096774196,3.4096774193548387,40702
Akiraku,Akiraku,3448,Happoshu,79,Suntory,Notes:,6.0,3.51,0,0,0,0,0,0,0,0,0,0,0,865,Suntory,4.0,3.5,3.0,4.0,4.5,74863
Aktien Original 1857,Aktien Original 1857,2399,Lager - European / Dortmunder Export,56,Bayreuther Bierbrauerei,Notes:,5.3,3.61,19,16,2,15,14,13,0,11,25,8,37,16829,Bayreuther Bierbrauerei,3.8,3.5,3.7,3.8,3.7,42321
Alamo Golden Ale,Alamo Golden Ale,1798,Blonde Ale - American,43,Alamo Beer Co.,Notes:,5.1,3.32,21,21,9,29,18,5,1,5,44,4,50,7059,Alamo Beer Co.,3.6904761904761907,3.3214285714285716,3.357142857142857,3.5357142857142856,3.5357142857142856,13523
Alba Scots Pine Ale,Alba Scots Pine Ale,3352,Gruit / Ancient Herbed Ale,78,Williams Brothers Brewing Company,"Notes:Introduced by the Vikings, spruce and pine ales were very popular in the Scottish Highlands until the end of the 19th century. Many early explorers, including Captain Cook, used spruce ale during long sea voyages since it prevented scurvy and ill health. Shetland spruce ale was said to ""stimulate animal instincts"" and give you twins. Alba is a triple style ale brewed to a traditional Highland recipe from Scots pine and spruce shoots pickled during early spring. Pure malted barley, is boiled with the young sprigs of pine for several hours then the fresh shoots of the spruce are added for a short infusion before fermentation.	",7.5,3.83,13,46,30,26,77,33,0,44,110,12,51,12142,Williams Brothers Brewing Company,3.6651982378854626,3.797356828193833,3.6872246696035242,3.7213656387665197,3.8083700440528636,243
Ale Of Fergus,Ale Of Fergus,481,Mild Ale - English Dark,12,Devils Backbone Brewing Company,Notes:,4.0,3.64,4,28,1,14,18,5,0,4,15,7,38,18539,Devils Backbone Brewing Company,4.25,3.625,3.75,3.625,4.0,46160
Ale To The Chief,Ale To The Chief,4522,Strong Ale - American,103,Avery Brewing Company,"Notes:Originally brewed to celebrate Inauguration Day, January 20, 2009, we elected to give Ale to the Chief a second term to commemorate the 2012 election!​ ​Not an “Imperial” pale ale, this is a democracy. It’s Presidential! Take the all-American pale ale, a bipartisan blend of malt and hops, increase both to Avery Brewing standards, and then, of c​​ourse, dry hop the result with that most quintessential of American hops, Cascades, and you get this…a brew worthy of the Oval Office!	",8.75,4.04,16,57,23,82,93,67,1,81,116,8,107,30,Avery Brewing Company,3.985639686684073,4.097911227154047,4.10443864229765,4.0,4.084856396866841,43903
Alhambra Negra,Alhambra Negra,769,Lager - European Dark,20,"Grupo Cervezas Alhambra, SL",Notes:,5.4,3.29,33,59,8,60,70,11,0,14,42,8,104,9262,"Grupo Cervezas Alhambra, SL",3.4451219512195124,3.317073170731707,3.658536585365854,3.2195121951219514,3.341463414634146,22584
Alice Porter,Alice Porter,2996,Porter - Baltic,69,BrewDog,"Notes:Weighing in at 5.2% ABV, Alice Porter hides a huge complexity behind her modest strength. Roasty and smooth with fruity, rich coffee character. Alice Porter takes a sudden twist in an unexpected direction; a blend of hops that add a light, balancing citrusy twist and a subtle spiciness. Alice Porter is the first of our 2105 seasonal brews.	",5.2,3.78,15,73,19,100,74,47,1,32,63,17,119,16315,BrewDog,3.9857142857142858,3.942857142857143,3.857142857142857,3.8,3.9857142857142858,65902
Allgäuer Hüttenbier,Allgäuer Hüttenbier,2396,Lager - European / Dortmunder Export,56,Der HirschBrau/Privatbrauerei Höss,Notes:,5.2,3.46,8,23,2,19,17,8,0,9,30,2,54,620,Der HirschBrau/Privatbrauerei Höss,3.0,2.75,3.0,3.0,3.0,63047
Almaza Pilsner Beer,Almaza Pilsner Beer,2845,Pilsner - German,65,Brasserie Almaza S.A.L.,Notes:,4.2,2.83,29,22,8,27,24,14,3,10,55,4,63,840,Brasserie Almaza S.A.L.,3.0137614678899083,2.738532110091743,3.114678899082569,2.8073394495412844,2.7889908256880735,2653
Alpen Stoff,Alpen Stoff,2379,Lager - European / Dortmunder Export,56,Bürgerbräu Bad Reichenhall,Notes:,5.3,3.51,14,31,3,28,23,14,0,15,47,1,55,20986,Bürgerbräu Bad Reichenhall,3.3333333333333335,2.8333333333333335,3.0,2.8333333333333335,3.1666666666666665,52288
Alpine Glacier Lager,Alpine Glacier Lager,2340,Lager - American,55,Tommyknocker Brewery,Notes:,4.5,3.28,30,31,7,50,39,35,0,33,79,5,52,156,Tommyknocker Brewery,3.437125748502994,3.0479041916167664,3.3592814371257487,3.284431137724551,3.218562874251497,2709
